ID,Contractor,Size,Utility,Zip
20835,Affordable Solar Installation,6.1,PNM,87107
20836,Affordable Solar Installation,5.8,PNM,87108
20837,Affordable Solar Installation,8.7,PNM,87110
20838,Affordable Solar Installation,12.3,PNM,87110
20856,Affordable Solar Installation,5.1,PNM,87102
20857,Affordable Solar Installation,3.3,PNM,87121
20865,Affordable Solar Installation,7.2,PNM,87121
20866,Organ Mountain Solar & Electric,7.6,EPE,88011
20870,"POULIN DESIGN REMODELING, INC.",7.0,PNM,87059
20871,Organ Mountain Solar & Electric,15.8,EPE,88007
20872,"SolExergy,LLC",10.0,PNM,87059
20874,Positive Energy Solar,5.2,PNM,87111
20875,Positive Energy Solar,2.1,PNM,87112
20876,Positive Energy Solar,10.5,PNM,87059
20879,Positive Energy Solar,7.0,PNM,87122
20880,Energy Concepts Corporation,2.6,SPS,88418
20882,Positive Energy Solar,12.6,PNM,87124
20883,Positive Energy Solar,5.6,PNM,87120
20884,Positive Energy Solar,12.2,PNM,87124
20885,Affordable Solar Installation,7.0,PNM,87106
20886,Affordable Solar Installation,9.3,PNM,87031
20887,Affordable Solar Installation,10.7,PNM,87106
20888,Affordable Solar Installation,4.4,PNM,87508
20889,Affordable Solar Installation,11.4,PNM,87106
20890,Organ Mountain Solar & Electric,7.9,EPE,88011
20891,Affordable Solar Installation,1.8,PNM,87031
20892,EverGuard Solar Energy LLC,5.9,PNM,87111
20893,EverGuard Solar Energy LLC,5.2,PNM,87123
20894,Organ Mountain Solar & Electric,4.0,EPE,88011
20895,Organ Mountain Solar & Electric,7.3,EPE,88011
20896,Organ Mountain Solar & Electric,7.9,EPE,88012
20897,Organ Mountain Solar & Electric,5.3,EPE,88005
20898,Organ Mountain Solar & Electric,4.0,EPE,88005
20901,SunState Solar Inc./Energized Electric,4.3,CNMEC,87015
20902,Affordable Solar Installation,5.4,PNM,87106
20903,Organ Mountain Solar & Electric,6.6,EPE,88012
20904,"POULIN DESIGN REMODELING, INC.",9.1,PNM,87501
20905,Organ Mountain Solar & Electric,4.0,EPE,88005
20906,Positive Energy Solar,2.6,LADPU,87544
20907,Positive Energy Solar,7.5,PNM,87505
20908,Positive Energy Solar,6.7,PNM,87110
20909,Positive Energy Solar,3.0,PNM,87144
20910,Positive Energy Solar,6.3,PNM,87501
20911,Positive Energy Solar,4.2,PNM,87501
20912,Positive Energy Solar,8.1,PNM,87508
20913,Positive Energy Solar,7.4,PNM,87505
20914,Positive Energy Solar,2.8,PNM,87506
20915,"Sunspot Solar Energy Systems, LLC",13.1,EPE,88011
20916,Affordable Solar Installation,4.8,PNM,87120
20917,Affordable Solar Installation,6.7,PNM,87104
20918,Affordable Solar Installation,3.5,PNM,87107
20919,Ocotillo Solar Electric,4.0,PNM,87122
20920,Affordable Solar Installation,3.2,MSMEC,87535
20921,Affordable Solar Installation,7.2,PNM,87120
20922,Affordable Solar Installation,9.0,PNM,87109
20923,Affordable Solar Installation,5.1,PNM,87114
20924,Affordable Solar Installation,5.1,PNM,87120
20925,Affordable Solar Installation,12.3,PNM,87123
20926,Affordable Solar Installation,12.0,PNM,87144
20927,Affordable Solar Installation,6.1,PNM,87112
20928,Affordable Solar Installation,2.7,PNM,87106
20929,Affordable Solar Installation,4.2,PNM,87109
20930,Affordable Solar Installation,5.4,PNM,87107
20931,Affordable Solar Installation,6.6,PNM,87121
20932,Affordable Solar Installation,3.3,PNM,87111
20933,Affordable Solar Installation,13.7,PNM,87107
20934,Affordable Solar Installation,6.9,PNM,87111
20935,Affordable Solar Installation,6.7,PNM,87111
20936,Affordable Solar Installation,13.7,PNM,87144
20937,SunState Solar Inc./Energized,8.1,PNM,87108
20938,Poulin Design Remolding,7.7,PNM,87501
20939,"Desert Design Electric, LLC",3.1,PNM,87501
20940,Affordable Solar Installation,3.9,PNM,87144
20943,Affordable Solar Installation,9.4,PNM,87107
20944,Affordable Solar Installation,13.7,PNM,87107
20945,Organ Mountain Solar & Electric,6.9,EPE,88011
20946,Organ Mountain Solar & Electric,4.0,EPE,88061
20947,Los Ebanistas/Sol Luna Solar,4.2,PNM,87106
20948,Positive Energy Solar,3.9,PNM,87004
20951,Compass Electric Company,7.3,PNM,87048
20952,Compass Electric Company,3.2,PNM,87047
20953,Affordable Solar Installation,11.4,PNM,87107
20954,Affordable Solar Installation,12.3,PNM,87124
20955,"POULIN DESIGN REMODELING, INC.",4.4,PNM,87505
20956,Organ Mountain Solar & Electric,3.5,TCMU,87901
20959,Organ Mountain Solar & Electric,9.9,PNM,88061
20960,Solar Works Energy LLC,8.6,PNM,87505
20961,Organ Mountain Solar & Electric,8.6,PNM,88310
20962,Solar Works Energy LLC,11.6,PNM,87120
20963,Organ Mountain Solar & Electric,11.9,PNM,88310
20964,Organ Mountain Solar & Electric,8.9,PNM,88310
20965,Organ Mountain Solar & Electric,7.9,EPE,88005
20966,"Solar Smart Living, LLC",11.6,EPE,88005
20967,"SolExergy, LLC",7.0,PNM,87124
20968,Organ Mountain Solar & Electric,6.6,EPE,88005
20969,SunState Solar Inc./Energized Electric,5.0,PNM,87109
20970,Organ Mountain Solar & Electric,5.6,EPE,88007
20971,Energy Concepts Corporation,5.4,EPE,88007
20972,Select Solar LLC,5.3,PNM,87547
20973,Organ Mountain Solar & Electric,5.0,EPE,88007
20974,"Solar Works Energy, LLC",10.1,PNM,87122
20975,Organ Mountain Solar & Electric,3.0,EPE,88011
20976,Solar Works,7.9,PNM,87505
20977,Organ Mountain Solar & Electric,5.9,EPE,88011
20978,Affordable Solar Installation,2.3,PNM,87048
20979,Positive Energy Solar,6.3,PNM,87508
20980,"Tesla Energy Operations, Inc.",8.2,PNM,87123
20981,Organ Mountain Solar & Electric,6.9,EPE,88007
20982,Positive Energy Solar,10.5,PNM,87043
20983,Positive Energy Solar,2.8,PNM,87501
20984,Positive Energy Solar,7.0,PNM,87505
20985,Positive Energy Solar,2.8,PNM,87501
20986,Positive Energy Solar,8.4,PNM,87111
20987,Positive Energy Solar,3.2,PNM,87505
20988,Positive Energy Solar,4.2,PNM,87507
20990,Positive Energy Solar,3.5,PNM,87505
20991,Affordable Solar Installation,6.4,PNM,87111
20992,Affordable Solar Installation,8.0,PNM,87120
20993,Affordable Solar Installation,3.0,PNM,87110
20994,Affordable Solar Installation,6.0,PNM,87114
20995,Affordable Solar Installation,6.3,PNM,87068
20996,Affordable Solar Installation,12.3,PNM,87068
