TaxCreditApplicationID,ReviewDate
21393,1/25/2021
21394,1/25/2021
21395,1/25/2021
21396,1/25/2021
21397,1/25/2021
21398,1/25/2021
21399,1/25/2021
21400,1/25/2021
21401,1/25/2021
21402,1/25/2021
21403,1/25/2021
21404,1/26/2021
21405,1/26/2021
21406,1/26/2021
21407,1/26/2021
21408,1/26/2021
21409,1/26/2021
21410,1/26/2021
21411,1/26/2021
21412,1/26/2021
21413,1/26/2021
21414,1/26/2021
21415,1/26/2021
21416,1/26/2021
21417,1/27/2021
21418,1/26/2021
21419,1/26/2021
21420,1/26/2021
21421,1/26/2021
21422,1/26/2021
21423,1/26/2021
21424,1/26/2021
21425,1/26/2021
21426,1/26/2021
21427,1/26/2021
21428,1/26/2021
21429,1/26/2021
21430,1/26/2021
21431,1/26/2021
21432,1/26/2021
21433,1/26/2021
21435,1/26/2021
21436,1/26/2021
21437,1/26/2021
21438,1/26/2021
21439,1/26/2021
21440,1/26/2021
21441,1/26/2021
21442,1/26/2021
21443,1/27/2021
21444,1/27/2021
21446,1/28/2021
21448,1/27/2021
21449,1/27/2021
21450,1/27/2021
21451,1/27/2021
21452,1/27/2021
21453,1/27/2021
21455,1/27/2021
21456,1/27/2021
21457,1/27/2021
21458,1/27/2021
21459,1/27/2021
21460,1/31/2021
21461,1/28/2021
21462,1/28/2021
21463,1/28/2021
21464,1/28/2021
21465,1/28/2021
21466,1/28/2021
21467,1/28/2021
21468,1/28/2021
21469,1/28/2021
21470,1/28/2021
21471,1/28/2021
21472,1/28/2021
21473,1/28/2021
21474,1/28/2021
21475,1/28/2021
21476,1/28/2021
21477,1/28/2021
21478,1/28/2021
21479,1/28/2021
21480,1/28/2021
21481,1/28/2021
21482,1/28/2021
21483,1/28/2021
21484,1/28/2021
21485,1/28/2021
21486,1/28/2021
21487,1/28/2021
21488,1/28/2021
21489,1/28/2021
21490,1/28/2021
21491,1/28/2021
21492,1/28/2021
21493,1/28/2021
21494,1/28/2021
21495,1/28/2021
21496,1/28/2021
21497,1/28/2021
21498,1/28/2021
21499,1/28/2021
21500,1/28/2021
21501,1/28/2021
21502,1/28/2021
21503,1/28/2021
21504,1/28/2021
21505,1/28/2021
21506,1/28/2021
21507,1/28/2021
21508,1/28/2021
21509,1/28/2021
21510,1/29/2021
21511,1/29/2021
21514,1/29/2021
21515,1/29/2021
21516,1/29/2021
21517,1/29/2021
21518,1/29/2021
21520,1/29/2021
21521,1/29/2021
21522,1/29/2021
21523,1/29/2021
21524,1/29/2021
21525,1/29/2021
21526,1/29/2021
21527,1/29/2021
21528,1/29/2021
21529,1/29/2021
21530,1/29/2021
21531,1/29/2021
21532,1/29/2021
21533,1/29/2021
21534,1/29/2021
21535,1/29/2021
21536,1/29/2021
21537,1/29/2021
21538,1/29/2021
21539,1/29/2021
21540,1/29/2021
21541,1/29/2021
21543,1/29/2021
21544,1/29/2021
21545,1/29/2021
21546,1/29/2021
21547,1/29/2021
21548,1/30/2021
21550,1/30/2021
21551,1/30/2021
21552,1/30/2021
21553,1/30/2021
21554,1/30/2021
21555,1/30/2021
21556,1/31/2021
21557,1/30/2021
21558,1/30/2021
21559,1/30/2021
21560,1/30/2021
21561,1/30/2021
21562,1/30/2021
21563,1/30/2021
21564,1/30/2021
21565,1/30/2021
21566,1/30/2021
21567,1/30/2021
21568,1/30/2021
21569,1/30/2021
21570,1/30/2021
21571,1/30/2021
21572,1/30/2021
21573,1/30/2021
21574,1/30/2021
21575,1/30/2021
21576,1/30/2021
21577,1/30/2021
21578,1/30/2021
21579,1/30/2021
21580,1/30/2021
21581,1/30/2021
21582,1/30/2021
21583,1/30/2021
21584,1/30/2021
21585,1/30/2021
21586,1/30/2021
21587,1/30/2021
21588,1/30/2021
21590,1/30/2021
21591,1/30/2021
21592,1/30/2021
21593,1/30/2021
21594,1/30/2021
21595,1/30/2021
21596,1/30/2021
21597,1/30/2021
21598,1/30/2021
21599,1/30/2021
21600,1/30/2021
21601,1/30/2021
21602,1/30/2021
21603,1/30/2021
21604,1/30/2021
21605,1/30/2021
21606,1/30/2021
21607,1/30/2021
21608,1/30/2021
21609,1/30/2021
21610,1/30/2021
21611,1/29/2021
21612,1/30/2021
21613,1/30/2021
21614,1/30/2021
21615,1/30/2021
21616,1/31/2021
21617,1/31/2021
21618,1/31/2021
21619,1/31/2021
21620,1/31/2021
21621,1/31/2021
21622,1/31/2021
21623,1/31/2021
21624,1/31/2021
21625,1/31/2021
21626,1/31/2021
21627,1/31/2021
21628,1/31/2021
21629,1/31/2021
21630,1/31/2021
21631,1/31/2021
21632,1/31/2021
21633,1/31/2021
21634,1/31/2021
21635,1/31/2021
21636,1/31/2021
21638,1/31/2021
21639,1/31/2021
21640,1/31/2021
21641,1/31/2021
21642,1/31/2021
21643,1/31/2021
21644,1/31/2021
21645,1/31/2021
21646,1/31/2021
21647,1/31/2021
21648,1/31/2021
21649,1/31/2021
21650,1/31/2021
21651,1/31/2021
21652,1/31/2021
21653,1/31/2021
21654,1/31/2021
21655,1/31/2021
21656,1/31/2021
21657,1/31/2021
21658,1/31/2021
21659,1/31/2021
21660,1/31/2021
21661,1/31/2021
21662,1/31/2021
21663,1/31/2021
21664,1/31/2021
21665,1/31/2021
21666,1/31/2021
21667,2/1/2021
21668,2/1/2021
21669,2/1/2021
21670,2/1/2021
21671,2/1/2021
21672,2/1/2021
21673,2/1/2021
21674,2/1/2021
21675,2/1/2021
21676,2/1/2021
21677,2/1/2021
21678,2/1/2021
21679,2/1/2021
21680,2/1/2021
21681,2/1/2021
21682,2/1/2021
21683,2/1/2021
21684,2/1/2021
21685,2/1/2021
21686,2/1/2021
21687,2/1/2021
21688,2/1/2021
21689,2/1/2021
21690,2/1/2021
21691,2/1/2021
21692,2/1/2021
21693,2/1/2021
21694,2/1/2021
21695,2/1/2021
21696,2/1/2021
21697,2/1/2021
21698,2/1/2021
21699,2/1/2021
21700,2/1/2021
21701,2/1/2021
21702,2/1/2021
21703,2/1/2021
21704,2/1/2021
21706,2/1/2021
21707,2/1/2021
21708,6/11/2021
21709,2/1/2021
21710,2/1/2021
21711,2/1/2021
21712,2/1/2021
21713,2/1/2021
21714,2/1/2021
21715,2/1/2021
21716,2/1/2021
21717,2/1/2021
21718,2/1/2021
21719,2/1/2021
21720,2/1/2021
21721,2/1/2021
21722,2/1/2021
21723,2/1/2021
21724,2/1/2021
21725,2/1/2021
21726,2/1/2021
21727,2/1/2021
21728,2/1/2021
21729,2/1/2021
21730,2/1/2021
21731,2/1/2021
21732,2/1/2021
21733,2/1/2021
21734,2/1/2021
21735,2/1/2021
21736,2/1/2021
21737,2/1/2021
21738,2/1/2021
21739,2/1/2021
21740,2/1/2021
21741,2/1/2021
21742,2/1/2021
21743,2/1/2021
21744,2/1/2021
21745,2/1/2021
21746,2/1/2021
21747,2/1/2021
21748,2/1/2021
21749,2/1/2021
21750,2/1/2021
21751,2/1/2021
21752,2/1/2021
21753,2/1/2021
21754,2/1/2021
21755,2/1/2021
21756,2/1/2021
21757,2/1/2021
21758,2/1/2021
21759,2/1/2021
21760,2/1/2021
21761,2/1/2021
21762,2/1/2021
21763,2/1/2021
21764,2/1/2021
21765,2/1/2021
21766,2/1/2021
21767,2/1/2021
21768,2/1/2021
21769,2/1/2021
21770,2/1/2021
21771,2/1/2021
21772,2/1/2021
21773,2/1/2021
21774,2/1/2021
21775,2/1/2021
21776,2/1/2021
21777,2/1/2021
21778,2/1/2021
21779,2/1/2021
21780,2/1/2021
21781,2/1/2021
21782,2/1/2021
21783,2/1/2021
21784,2/1/2021
21785,2/1/2021
21786,2/1/2021
21787,2/1/2021
21788,2/1/2021
21789,2/1/2021
21790,2/1/2021
21791,2/1/2021
21792,2/1/2021
21793,2/1/2021
21794,2/1/2021
21795,2/1/2021
21796,2/5/2021
21797,2/1/2021
